gen,seq,delta_ns
1789205287309-tick,213,49989600
1789205287309-tick,214,50840900
1789205287309-tick,215,49038700
1789205287309-tick,216,49933900
1789205287309-tick,217,50349200
1789205287309-tick,218,50290000
1789205287309-tick,219,49586700
1789205287309-tick,220,49964900
1789205287309-tick,221,50525700
1789205287309-tick,222,49043800
1789205287309-tick,223,49906500
1789205287309-tick,224,49915200
1789205287309-tick,225,50745500
1789205287309-tick,226,50636500
1789205287309-tick,227,49341900
1789205287309-tick,228,50021800
1789205287309-tick,229,50137700
1789205287309-tick,230,49729100
1789205287309-tick,231,51177100
1789205287309-tick,232,49723600
1789205287309-tick,233,48473600
1789205287309-tick,234,50537200
1789205287309-tick,235,50043400
1789205287309-tick,236,50534000
1789205287309-tick,237,49918100
1789205287309-tick,238,50369100
1789205287309-tick,239,48644900
1789205287309-tick,240,51100400
1789205287309-tick,241,49027500
1789205287309-tick,242,50627600
1789205287309-tick,243,49995000
1789205287309-tick,244,49315900
1789205287309-tick,245,50858700
1789205287309-tick,246,49325300
1789205287309-tick,247,51390900
1789205287309-tick,248,49289300
1789205287309-tick,249,49101200
1789205287309-tick,250,49942600
1789205287309-tick,251,50656100
1789205287309-tick,252,49814200
1789205287309-tick,253,49835600
1789205287309-tick,254,49725800
1789205287309-tick,255,51635200
1789205287309-tick,256,48861400
1789205287309-tick,257,51367900
1789205287309-tick,258,49297100
1789205287309-tick,259,48847500
1789205287309-tick,260,51495400
1789205287309-tick,261,48933900
1789205287309-tick,262,51067500
1789205287309-tick,263,49757200
1789205287309-tick,264,49017100
1789205287309-tick,265,50618000
1789205287309-tick,266,50715400
1789205287309-tick,267,49679000
1789205287309-tick,268,50042500
1789205287309-tick,269,48736500
1789205287309-tick,270,50071500
1789205287309-tick,271,51568800
1789205287309-tick,272,48403300
1789205287309-tick,273,50625200
1789205287309-tick,274,50565700
1789205287309-tick,275,48722100
1789205287309-tick,276,51375500
1789205287309-tick,277,48543700
1789205287309-tick,278,50471800
1789205287309-tick,279,50823300
1789205287309-tick,280,49725300
1789205287309-tick,281,49781700
1789205287309-tick,282,49598300
1789205287309-tick,283,51080100
1789205287309-tick,284,49001100
1789205287309-tick,285,50650500
1789205287309-tick,286,48964500
1789205287309-tick,287,51301200
1789205287309-tick,288,50033400
1789205287309-tick,289,50087700
1789205287309-tick,290,48583300
1789205287309-tick,291,50325600
1789205287309-tick,292,50075400
1789205287309-tick,293,49614800
1789205287309-tick,294,50815400
1789205287309-tick,295,50129000
1789205287309-tick,296,49229200
1789205287309-tick,297,50343300
1789205287309-tick,298,50467200
1789205287309-tick,299,51021200
1789205287309-tick,300,48588900
1789205287309-tick,301,50332600
1789205287309-tick,302,49239700
1789205287309-tick,303,51243800
1789205287309-tick,304,48622000
1789205287309-tick,305,50392900
1789205287309-tick,306,49746900
1789205287309-tick,307,50397500
1789205287309-tick,308,49348400
1789205287309-tick,309,51751200
1789205287309-tick,310,49229100
1789205287309-tick,311,50974800
1789205287309-tick,312,48485500
1789205287309-tick,313,50284100
1789205287309-tick,314,50366200
1789205287309-tick,315,50268300
1789205287309-tick,316,48841600
1789205287309-tick,317,51769400
1789205287309-tick,318,48133700
1789205287309-tick,319,50649800
1789205287309-tick,320,50612200
1789205287309-tick,321,48983100
1789205287309-tick,322,50491800
1789205287309-tick,323,50277300
1789205287309-tick,324,48914000
1789205287309-tick,325,50568000
1789205287309-tick,326,50560200
1789205287309-tick,327,49307900
1789205287309-tick,328,50133400
1789205287309-tick,329,49621300
1789205287309-tick,330,51062800
1789205287309-tick,331,50131100
1789205287309-tick,332,49530400
1789205287309-tick,333,50446700
1789205287309-tick,334,48952400
1789205287309-tick,335,51534800
1789205287309-tick,336,49085400
1789205287309-tick,337,49047400
1789205287309-tick,338,50603200
1789205287309-tick,339,49472800
1789205287309-tick,340,51098500
1789205287309-tick,341,48954600
1789205287309-tick,342,49872300
1789205287309-tick,343,50147800
1789205287309-tick,344,50215100
1789205287309-tick,345,51422100
1789205287309-tick,346,49312400
1789205287309-tick,347,50216200
1789205287309-tick,348,50543200
1789205287309-tick,349,48553000
1789205287309-tick,350,49567000
1789205287309-tick,351,51707600
1789205287309-tick,352,48270400
1789205287309-tick,353,50110300
1789205287309-tick,354,51769200
1789205287309-tick,355,49844800
1789205287309-tick,356,50046900
1789205287309-tick,357,49752800
1789205287309-tick,358,48546400
1789205287309-tick,359,51053200
1789205287309-tick,360,50072800
1789205287309-tick,361,50389900
1789205287309-tick,362,49793800
1789205287309-tick,363,49083400
1789205287309-tick,364,49644400
1789205287309-tick,365,51264000
1789205287309-tick,366,48779000
1789205287309-tick,367,51666300
1789205287309-tick,368,50012200
1789205287309-tick,369,49020000
1789205287309-tick,370,49294800
1789205287309-tick,371,50075200
1789205287309-tick,372,50438100
1789205287309-tick,373,50052200
1789205287309-tick,374,50314900
1789205287309-tick,375,50201500
1789205287309-tick,376,48836800
1789205287309-tick,377,51749100
1789205287309-tick,378,49233300
1789205287309-tick,379,50350500
1789205287309-tick,380,49004300
1789205287309-tick,381,50110500
1789205287309-tick,382,49455900
1789205287309-tick,383,50213000
1789205287309-tick,384,51095000
1789205287309-tick,385,48818800
1789205287309-tick,386,50468400
1789205287309-tick,387,50036000
1789205287309-tick,388,49424200
1789205287309-tick,389,51725600
1789205287309-tick,390,49262900
1789205287309-tick,391,49321000
1789205287309-tick,392,50328400
1789205287309-tick,393,50255400
1789205287309-tick,394,50064300
1789205287309-tick,395,49205600
1789205287309-tick,396,49980100
1789205287309-tick,397,50075000
1789205287309-tick,398,50009500
1789205287309-tick,399,51409800
1789205287309-tick,400,48639600
1789205287309-tick,401,50286900
1789205287309-tick,402,49827400
1789205287309-tick,403,49699500
1789205287309-tick,404,50067200
1789205287309-tick,405,49995600
1789205287309-tick,406,51218400
1789205287309-tick,407,50365100
1789205287309-tick,408,48342500
1789205287309-tick,409,51556000
1789205287309-tick,410,49902800
1789205287309-tick,411,49963500
1789205287309-tick,412,48528100
1789205287309-tick,413,50494900
1789205287309-tick,414,49888600
1789205287309-tick,415,50598900
1789205287309-tick,416,49573500
1789205287309-tick,417,50457000
1789205287309-tick,418,50672800
1789205287309-tick,419,48603300
1789205287309-tick,420,49870500
1789205287309-tick,421,51562200
1789205287309-tick,422,48278200
1789205287309-tick,423,50981200
1789205287309-tick,424,49755600
1789205287309-tick,425,49572400
1789205287309-tick,426,49589900
1789205287309-tick,427,51656500
1789205287309-tick,428,49255700
1789205287309-tick,429,49913900
1789205287309-tick,430,49714800
1789205287309-tick,431,50393000
1789205287309-tick,432,50092600
1789205287309-tick,433,50365900
1789205287309-tick,434,48594300
1789205287309-tick,435,51779500
1789205287309-tick,436,48531700
1789205287309-tick,437,49832400
1789205287309-tick,438,50167100
1789205287309-tick,439,49781100
1789205287309-tick,440,51011900
1789205287309-tick,441,49667000
1789205287309-tick,442,49866500
1789205287309-tick,443,49956700
1789205287309-tick,444,49998100
1789205287309-tick,445,50029700
1789205287309-tick,446,51052400
1789205287309-tick,447,50001500
1789205287309-tick,448,49274400
1789205287309-tick,449,49915100
1789205287309-tick,450,49907200
1789205287309-tick,451,50785400
1789205287309-tick,452,48870800
1789205287309-tick,453,49776200
1789205287309-tick,454,50409200
1789205287309-tick,455,49770700
1789205287309-tick,456,49934100
1789205287309-tick,457,49731800
1789205287309-tick,458,49978000
1789205287309-tick,459,51201500
1789205287309-tick,460,50395200
1789205287309-tick,461,49022400
1789205287309-tick,462,50600600
1789205287309-tick,463,48846900
1789205287309-tick,464,51056300
1789205287309-tick,465,50370300
1789205287309-tick,466,49389100
1789205287309-tick,467,50669000
1789205287309-tick,468,49272500
1789205287309-tick,469,50940400
1789205287309-tick,470,49282600
1789205287309-tick,471,48953800
1789205287309-tick,472,50072200
1789205287309-tick,473,50732000
1789205287309-tick,474,49513600
1789205287309-tick,475,49887300
1789205287309-tick,476,49832300
1789205287309-tick,477,51117800
1789205287309-tick,478,49875500
1789205287309-tick,479,49666400
1789205287309-tick,480,50384800
1789205287309-tick,481,50604300
1789205287309-tick,482,48713300
1789205287309-tick,483,51476400
1789205287309-tick,484,48961100
1789205287309-tick,485,50010700
1789205287309-tick,486,49604700
1789205287309-tick,487,51459300
1789205287309-tick,488,48271800
1789205287309-tick,489,50660300
1789205287309-tick,490,50146200
1789205287309-tick,491,49477300
1789205287309-tick,492,49906600
1789205287309-tick,493,50517200
1789205287309-tick,494,50296200
1789205287309-tick,495,50000900
1789205287309-tick,496,49495100
1789205287309-tick,497,51169600
1789205287309-tick,498,48885500
1789205287309-tick,499,49860400
1789205287309-tick,500,50067000
1789205287309-tick,501,50892500
1789205287309-tick,502,48547800
1789205287309-tick,503,49956300
1789205287309-tick,504,50233600
1789205287309-tick,505,51181800
1789205287309-tick,506,49299800
1789205287309-tick,507,49888800
1789205287309-tick,508,49468000
1789205287309-tick,509,51436100
1789205287309-tick,510,48458100
1789205287309-tick,511,51870500
1789205287309-tick,512,48077900
1789205287309-tick,513,51291200
1789205287309-tick,514,49252400
1789205287309-tick,515,49971300
1789205287309-tick,516,49756300
1789205287309-tick,517,51368300
1789205287309-tick,518,49024900
1789205287309-tick,519,50139600
1789205287309-tick,520,50001000
1789205287309-tick,521,50095900
1789205287309-tick,522,49976100
1789205287309-tick,523,50848500
1789205287309-tick,524,49081600
1789205287309-tick,525,50995500
1789205287309-tick,526,49340900
1789205287309-tick,527,50567100
1789205287309-tick,528,48463000
1789205287309-tick,529,51731200
1789205287309-tick,530,49689400
1789205287309-tick,531,48603500
1789205287309-tick,532,49921100
1789205287309-tick,533,50660800
1789205287309-tick,534,49376900
1789205287309-tick,535,50265900
1789205287309-tick,536,49676000
1789205287309-tick,537,51176200
1789205287309-tick,538,49546900
1789205287309-tick,539,50588800
1789205287309-tick,540,49168000
1789205287309-tick,541,50214000
1789205287309-tick,542,50211600
1789205287309-tick,543,49009300
1789205287309-tick,544,50826200
1789205287309-tick,545,49960100
1789205287309-tick,546,50119800
1789205287309-tick,547,50757600
1789205287309-tick,548,48568900
1789205287309-tick,549,51016500
1789205287309-tick,550,49385400
1789205287309-tick,551,50681900
1789205287309-tick,552,48839800
1789205287309-tick,553,50541300
1789205287309-tick,554,49415900
1789205287309-tick,555,51311300
1789205287309-tick,556,50138100
1789205287309-tick,557,48976000
1789205287309-tick,558,50198800
1789205287309-tick,559,49513500
1789205287309-tick,560,49954200
1789205287309-tick,561,51113400
1789205287309-tick,562,49189900
1789205287309-tick,563,49755800
1789205287309-tick,564,49986600
1789205287309-tick,565,50283500
1789205287309-tick,566,49488200
1789205287309-tick,567,51347200
1789205287309-tick,568,48712500
1789205287309-tick,569,50003100
1789205287309-tick,570,49920300
1789205287309-tick,571,51670300
1789205287309-tick,572,49717400
1789205287309-tick,573,49820300
1789205287309-tick,574,49356200
1789205287309-tick,575,49923300
1789205287309-tick,576,49725600
1789205287309-tick,577,51391600
1789205287309-tick,578,48557700
1789205287309-tick,579,51684700
1789205287309-tick,580,49079700
1789205287309-tick,581,50643000
1789205287309-tick,582,48727500
1789205287309-tick,583,50516700
1789205287309-tick,584,50875700
1789205287309-tick,585,48838000
1789205287309-tick,586,50228700
1789205287309-tick,587,49721300
1789205287309-tick,588,49514400
1789205287309-tick,589,50883900
1789205287309-tick,590,49918900
1789205287309-tick,591,50358300
1789205287309-tick,592,48876200
1789205287309-tick,593,50004900
1789205287309-tick,594,50695500
1789205287309-tick,595,50773700
1789205287309-tick,596,50551000
1789205287309-tick,597,49151900
1789205287309-tick,598,50054500
1789205287309-tick,599,49006300
1789205287309-tick,600,50380000
1789205287309-tick,601,50846100
1789205287309-tick,602,49381700
1789205287309-tick,603,49803500
1789205287309-tick,604,49672900
1789205287309-tick,605,50097900
1789205287309-tick,606,50960800
1789205287309-tick,607,49241900
1789205287309-tick,608,50295100
1789205287309-tick,609,50804600
1789205287309-tick,610,48540500
1789205287309-tick,611,49805800
1789205287309-tick,612,50055000
1789205287309-tick,613,50091200
1789205287309-tick,614,50806900
1789205287309-tick,615,49261500
1789205287309-tick,616,51007700
1789205287309-tick,617,49905300
1789205287309-tick,618,48976700
1789205287309-tick,619,50210900
1789205287309-tick,620,50218400
1789205287309-tick,621,50447300
1789205287309-tick,622,48958400
1789205287309-tick,623,51348900
1789205287309-tick,624,49034600
1789205287309-tick,625,49589500
1789205287309-tick,626,50309400
1789205287309-tick,627,51115500
1789205287309-tick,628,48785200
1789205287309-tick,629,50218900
1789205287309-tick,630,51093100
1789205287309-tick,631,49345800
1789205287309-tick,632,49334600
1789205287309-tick,633,50338200
1789205287309-tick,634,49619300
1789205287309-tick,635,50544400
1789205287309-tick,636,50076200
1789205287309-tick,637,49518000
1789205287309-tick,638,49852500
1789205287309-tick,639,51447200
1789205287309-tick,640,48858700
1789205287309-tick,641,50265300
1789205287309-tick,642,49987700
1789205287309-tick,643,49891000
1789205287309-tick,644,50106600
1789205287309-tick,645,50982300
1789205287309-tick,646,48496400
1789205287309-tick,647,50629800
1789205287309-tick,648,49214400
1789205287309-tick,649,50180700
1789205287309-tick,650,50552700
1789205287309-tick,651,49775100
1789205287309-tick,652,49608500
1789205287309-tick,653,51445100
1789205287309-tick,654,49397800
1789205287309-tick,655,50080000
1789205287309-tick,656,49309200
1789205287309-tick,657,50052400
1789205287309-tick,658,49679000
1789205287309-tick,659,50386300
1789205287309-tick,660,50514200
1789205287309-tick,661,48948100
1789205287309-tick,662,52112700
1789205287309-tick,663,49931900
1789205287309-tick,664,48041900
1789205287309-tick,665,50134200
1789205287309-tick,666,49858200
1789205287309-tick,667,50040900
1789205287309-tick,668,50310100
1789205287309-tick,669,51071000
1789205287309-tick,670,49301600
1789205287309-tick,671,50012200
1789205287309-tick,672,49988600
1789205287309-tick,673,50203000
1789205287309-tick,674,50973500
1789205287309-tick,675,49440200
1789205287309-tick,676,49273400
1789205287309-tick,677,50344800
1789205287309-tick,678,49258300
1789205287309-tick,679,51583400
1789205287309-tick,680,50006800
1789205287309-tick,681,48236000
1789205287309-tick,682,50189900
