gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789205287309-mem,1,1789205292335,542785608,704643072,542785608,161857464
1789205287309-mem,2,1789205297334,544530536,704643072,544530536,160112536
1789205287309-mem,3,1789205302334,546107672,704643072,546107672,158535400
1789205287309-mem,4,1789205307334,547819304,704643072,547819304,156823768
1789205287309-mem,5,1789205312333,553736400,704643072,553736400,150906672
1789205287309-mem,6,1789205317332,555156232,704643072,555156232,149486840
1789205287309-mem,7,1789205322333,557789176,704643072,557789176,146853896
1789205287309-mem,8,1789205327334,559366328,704643072,559366328,145276744
1789205287309-mem,9,1789205332333,560417768,704643072,560417768,144225304
1789205287309-mem,10,1789205337333,561994896,704643072,561994896,142648176
1789205287309-mem,11,1789205342333,579197304,704643072,579197304,125445768
1789205287309-mem,12,1789205347333,583942520,704643072,583942520,120700552
