gen,seq,delta_ns
1789204518947-tick,1,55608400
1789204518947-tick,2,34426800
1789204518947-tick,3,50051400
1789204518947-tick,4,49833300
1789204518947-tick,5,49799600
1789204518947-tick,6,50899600
1789204518947-tick,7,49876200
1789204518947-tick,8,50389200
1789204518947-tick,9,49168800
1789204518947-tick,10,49723900
1789204518947-tick,11,51556200
1789204518947-tick,12,48442600
1789204518947-tick,13,51457600
1789204518947-tick,14,50071400
1789204518947-tick,15,48917400
1789204518947-tick,16,49538900
1789204518947-tick,17,49872100
1789204518947-tick,18,50649200
1789204518947-tick,19,49559700
1789204518947-tick,20,49836200
1789204518947-tick,21,50011500
1789204518947-tick,22,50720200
1789204518947-tick,23,50909500
1789204518947-tick,24,49070400
1789204518947-tick,25,51068300
1789204518947-tick,26,49960800
1789204518947-tick,27,48868900
1789204518947-tick,28,50424900
1789204518947-tick,29,50186200
1789204518947-tick,30,50329400
1789204518947-tick,31,48832000
1789204518947-tick,32,49757300
1789204518947-tick,33,50076500
1789204518947-tick,34,50622400
1789204518947-tick,35,50849000
1789204518947-tick,36,49321100
1789204518947-tick,37,49309200
1789204518947-tick,38,51268000
1789204518947-tick,39,49103900
1789204518947-tick,40,49975700
1789204518947-tick,41,50539500
1789204518947-tick,42,50279500
1789204518947-tick,43,49302700
1789204518947-tick,44,50728800
1789204518947-tick,45,48991800
1789204518947-tick,46,49756400
1789204518947-tick,47,51556600
1789204518947-tick,48,48476300
1789204518947-tick,49,49885800
1789204518947-tick,50,49789200
1789204518947-tick,51,50199100
1789204518947-tick,52,50173800
1789204518947-tick,53,51144900
1789204518947-tick,54,49523100
1789204518947-tick,55,49106100
1789204518947-tick,56,51653600
1789204518947-tick,57,49668200
1789204518947-tick,58,50654600
1789204518947-tick,59,48438400
1789204518947-tick,60,50527700
1789204518947-tick,61,48923500
1789204518947-tick,62,50724200
1789204518947-tick,63,49653700
1789204518947-tick,64,51366200
1789204518947-tick,65,48710400
1789204518947-tick,66,49820200
1789204518947-tick,67,51168100
1789204518947-tick,68,48578200
1789204518947-tick,69,50762600
1789204518947-tick,70,50678700
1789204518947-tick,71,48566200
1789204518947-tick,72,50451100
1789204518947-tick,73,49986400
1789204518947-tick,74,50352400
1789204518947-tick,75,49537800
1789204518947-tick,76,49638500
1789204518947-tick,77,50892100
1789204518947-tick,78,50003600
1789204518947-tick,79,49554500
1789204518947-tick,80,51277800
1789204518947-tick,81,49735100
1789204518947-tick,82,49358500
1789204518947-tick,83,49943200
1789204518947-tick,84,50073900
1789204518947-tick,85,50120400
1789204518947-tick,86,49831800
1789204518947-tick,87,49837700
1789204518947-tick,88,49502300
1789204518947-tick,89,50884800
1789204518947-tick,90,49655700
1789204518947-tick,91,50400500
1789204518947-tick,92,50476900
1789204518947-tick,93,48993800
1789204518947-tick,94,51113300
1789204518947-tick,95,48694500
1789204518947-tick,96,50014700
1789204518947-tick,97,50993400
1789204518947-tick,98,50109200
1789204518947-tick,99,48961900
1789204518947-tick,100,50636900
1789204518947-tick,101,50971700
1789204518947-tick,102,49009300
1789204518947-tick,103,49684500
1789204518947-tick,104,50037300
1789204518947-tick,105,50608200
1789204518947-tick,106,49336800
1789204518947-tick,107,49330600
1789204518947-tick,108,51950600
1789204518947-tick,109,48227200
1789204518947-tick,110,50550400
1789204518947-tick,111,50077800
1789204518947-tick,112,49299900
1789204518947-tick,113,51072800
1789204518947-tick,114,50109200
1789204518947-tick,115,49133800
1789204518947-tick,116,49504400
1789204518947-tick,117,50040000
1789204518947-tick,118,50927400
1789204518947-tick,119,50817400
1789204518947-tick,120,48774200
1789204518947-tick,121,49792700
1789204518947-tick,122,50912000
1789204518947-tick,123,49090100
1789204518947-tick,124,50472800
1789204518947-tick,125,50751200
1789204518947-tick,126,49807400
1789204518947-tick,127,50636300
1789204518947-tick,128,48692600
1789204518947-tick,129,49593900
1789204518947-tick,130,51605100
1789204518947-tick,131,48950500
1789204518947-tick,132,49713700
1789204518947-tick,133,50138700
1789204518947-tick,134,50769400
1789204518947-tick,135,48848100
1789204518947-tick,136,50341700
1789204518947-tick,137,50612900
1789204518947-tick,138,49413700
1789204518947-tick,139,50297200
1789204518947-tick,140,49477800
1789204518947-tick,141,50044400
1789204518947-tick,142,50240700
1789204518947-tick,143,49554300
1789204518947-tick,144,50597900
1789204518947-tick,145,51011100
1789204518947-tick,146,48678900
1789204518947-tick,147,49952000
1789204518947-tick,148,50178900
1789204518947-tick,149,50471200
1789204518947-tick,150,50585000
1789204518947-tick,151,50555900
1789204518947-tick,152,47848200
1789204518947-tick,153,50198200
1789204518947-tick,154,51064000
1789204518947-tick,155,49787400
1789204518947-tick,156,49473900
1789204518947-tick,157,50495700
1789204518947-tick,158,49801200
1789204518947-tick,159,48992400
1789204518947-tick,160,51009400
1789204518947-tick,161,50963600
1789204518947-tick,162,48017000
1789204518947-tick,163,51625000
1789204518947-tick,164,48883400
1789204518947-tick,165,50897700
1789204518947-tick,166,50328900
1789204518947-tick,167,48797600
1789204518947-tick,168,50479200
1789204518947-tick,169,49329000
1789204518947-tick,170,51324900
1789204518947-tick,171,48452500
1789204518947-tick,172,50497300
1789204518947-tick,173,50624000
1789204518947-tick,174,50284600
1789204518947-tick,175,49786400
1789204518947-tick,176,49495000
1789204518947-tick,177,49753800
1789204518947-tick,178,50017500
1789204518947-tick,179,49476000
1789204518947-tick,180,50786100
1789204518947-tick,181,49599500
1789204518947-tick,182,51201000
1789204518947-tick,183,48548500
1789204518947-tick,184,50590100
1789204518947-tick,185,49688900
1789204518947-tick,186,50991600
1789204518947-tick,187,50391800
1789204518947-tick,188,48257700
1789204518947-tick,189,51818300
1789204518947-tick,190,48734000
1789204518947-tick,191,49437100
1789204518947-tick,192,50098300
1789204518947-tick,193,49983000
1789204518947-tick,194,51522000
1789204518947-tick,195,48424800
1789204518947-tick,196,49958200
1789204518947-tick,197,52278800
1789204518947-tick,198,49241900
1789204518947-tick,199,48462900
1789204518947-tick,200,50732900
1789204518947-tick,201,49906900
1789204518947-tick,202,50088400
1789204518947-tick,203,50096500
1789204518947-tick,204,49798800
1789204518947-tick,205,50016900
1789204518947-tick,206,50471900
1789204518947-tick,207,50041900
1789204518947-tick,208,49274500
1789204518947-tick,209,49989300
1789204518947-tick,210,50959400
1789204518947-tick,211,50258300
1789204518947-tick,212,49624600
1789204518947-tick,213,48972400
1789204518947-tick,214,51583300
1789204518947-tick,215,48451900
