gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789204518947-mem,1,1789204523969,375676856,704643072,375676856,328966216
1789204518947-mem,2,1789204528966,376593184,704643072,376593184,328049888
1789204518947-mem,3,1789204533967,378425856,704643072,378425856,326217216
1789204518947-mem,4,1789204538965,379342168,704643072,379342168,325300904
1789204518947-mem,5,1789204543966,381768360,704643072,381768360,322874712
1789204518947-mem,6,1789204548965,382684800,704643072,382684800,321958272
1789204518947-mem,7,1789204553966,385450136,704643072,385450136,319192936
1789204518947-mem,8,1789204558965,387282832,704643072,387282832,317360240
1789204518947-mem,9,1789204563965,387851424,704643072,387851424,316791648
1789204518947-mem,10,1789204568965,393072360,704643072,393072360,311570712
1789204518947-mem,11,1789204573964,403015088,704643072,403015088,301627984
1789204518947-mem,12,1789204578965,406180872,704643072,406180872,298462200
