gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789209058691-adapter,started,0,1549,55017.8,135056042
1789209058691-adapter,started,1,1596,16043.6,135056042
1789209058691-adapter,started,2,1626,14863.5,135056042
1789209058691-adapter,started,3,1645,9408.4,135056042
1789209058691-adapter,started,4,1664,9189.5,135056042
1789209058691-adapter,started,5,1679,7425.2,135056042
1789209058691-adapter,started,6,1695,7919.2,135056042
1789209058691-adapter,started,7,1707,6313.1,135056042
1789209058691-adapter,started,8,1718,5360.5,135056042
1789209058691-adapter,started,9,1729,5335.1,135056042
