gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789209134408-mem,1,1789209139436,531094608,603979776,531094608,72885168
1789209134408-mem,2,1789209144435,532884528,603979776,532884528,71095248
1789209134408-mem,3,1789209149435,535121744,603979776,535121744,68858032
1789209134408-mem,4,1789209154435,536464144,603979776,536464144,67515632
1789209134408-mem,5,1789209159435,214949736,889192448,214949736,674242712
1789209134408-mem,6,1789209164434,216753296,889192448,216753296,672439152
1789209134408-mem,7,1789209169434,218807792,889192448,218807792,670384656
1789209134408-mem,8,1789209174435,220846040,889192448,220846040,668346408
1789209134408-mem,9,1789209179434,220846040,889192448,220846040,668346408
1789209134408-mem,10,1789209184434,222884176,889192448,222884176,666308272
1789209134408-mem,11,1789209189435,236879432,889192448,236879432,652313016
1789209134408-mem,12,1789209194434,240372792,889192448,240372792,648819656
