gen,seq,delta_ns
1789211068009-tick,213,49526000
1789211068009-tick,214,50438300
1789211068009-tick,215,49949400
1789211068009-tick,216,49420300
1789211068009-tick,217,49338700
1789211068009-tick,218,50077400
1789211068009-tick,219,50875000
1789211068009-tick,220,49339000
1789211068009-tick,221,50764300
1789211068009-tick,222,49062600
1789211068009-tick,223,50418700
1789211068009-tick,224,50850300
1789211068009-tick,225,48877800
1789211068009-tick,226,50295200
1789211068009-tick,227,50444800
1789211068009-tick,228,49401000
1789211068009-tick,229,51065500
1789211068009-tick,230,48938200
1789211068009-tick,231,51353500
1789211068009-tick,232,48426300
1789211068009-tick,233,50220500
1789211068009-tick,234,49576700
1789211068009-tick,235,49972900
1789211068009-tick,236,50700600
1789211068009-tick,237,49445600
1789211068009-tick,238,51184900
1789211068009-tick,239,49535100
1789211068009-tick,240,49592500
1789211068009-tick,241,50209900
1789211068009-tick,242,50693300
1789211068009-tick,243,49518100
1789211068009-tick,244,49166200
1789211068009-tick,245,50634200
1789211068009-tick,246,49747900
1789211068009-tick,247,50022400
1789211068009-tick,248,50434700
1789211068009-tick,249,50431000
1789211068009-tick,250,49607800
1789211068009-tick,251,49156600
1789211068009-tick,252,50432500
1789211068009-tick,253,49887600
1789211068009-tick,254,51138300
1789211068009-tick,255,50529800
1789211068009-tick,256,49588100
1789211068009-tick,257,49082000
1789211068009-tick,258,51091500
1789211068009-tick,259,49489100
1789211068009-tick,260,48953000
1789211068009-tick,261,50142400
1789211068009-tick,262,50802300
1789211068009-tick,263,49999900
1789211068009-tick,264,49376500
1789211068009-tick,265,50116900
1789211068009-tick,266,50862200
1789211068009-tick,267,49832800
1789211068009-tick,268,50483000
1789211068009-tick,269,49556600
1789211068009-tick,270,49198500
1789211068009-tick,271,51453000
1789211068009-tick,272,48552800
1789211068009-tick,273,50701400
1789211068009-tick,274,49473700
1789211068009-tick,275,50419800
1789211068009-tick,276,48909800
1789211068009-tick,277,50290200
1789211068009-tick,278,49660500
1789211068009-tick,279,49945400
1789211068009-tick,280,51136200
1789211068009-tick,281,50074900
1789211068009-tick,282,50351100
1789211068009-tick,283,48604700
1789211068009-tick,284,50497700
1789211068009-tick,285,50646600
1789211068009-tick,286,49151000
1789211068009-tick,287,49918000
1789211068009-tick,288,50011600
1789211068009-tick,289,50522800
1789211068009-tick,290,49721200
1789211068009-tick,291,49980500
1789211068009-tick,292,51116600
1789211068009-tick,293,49429000
1789211068009-tick,294,49279300
1789211068009-tick,295,50472400
1789211068009-tick,296,49135400
1789211068009-tick,297,51515300
1789211068009-tick,298,49000500
1789211068009-tick,299,50990400
1789211068009-tick,300,48968900
1789211068009-tick,301,49550900
1789211068009-tick,302,50161100
1789211068009-tick,303,51392500
1789211068009-tick,304,48764400
1789211068009-tick,305,49828900
1789211068009-tick,306,50278900
1789211068009-tick,307,49477200
1789211068009-tick,308,50281200
1789211068009-tick,309,50441200
1789211068009-tick,310,50503100
1789211068009-tick,311,48865200
1789211068009-tick,312,51873000
1789211068009-tick,313,49339200
1789211068009-tick,314,49500800
1789211068009-tick,315,50392200
1789211068009-tick,316,49042600
1789211068009-tick,317,51369500
1789211068009-tick,318,48905500
1789211068009-tick,319,50022100
1789211068009-tick,320,50436400
1789211068009-tick,321,49428500
1789211068009-tick,322,49658700
1789211068009-tick,323,49886900
1789211068009-tick,324,50862200
1789211068009-tick,325,50139100
1789211068009-tick,326,49161400
1789211068009-tick,327,51124900
1789211068009-tick,328,49611200
1789211068009-tick,329,50384900
1789211068009-tick,330,50195600
1789211068009-tick,331,50494800
1789211068009-tick,332,48461400
1789211068009-tick,333,50314400
1789211068009-tick,334,49639000
1789211068009-tick,335,50540700
1789211068009-tick,336,50250400
1789211068009-tick,337,49168600
1789211068009-tick,338,51265000
1789211068009-tick,339,49424700
1789211068009-tick,340,49055600
1789211068009-tick,341,50028100
1789211068009-tick,342,50786300
1789211068009-tick,343,50007500
1789211068009-tick,344,49692700
1789211068009-tick,345,50977800
1789211068009-tick,346,48906700
1789211068009-tick,347,51010900
1789211068009-tick,348,48920800
1789211068009-tick,349,51770000
1789211068009-tick,350,48456100
1789211068009-tick,351,49528800
1789211068009-tick,352,51612800
1789211068009-tick,353,48851700
1789211068009-tick,354,49986400
1789211068009-tick,355,50398600
1789211068009-tick,356,49036600
1789211068009-tick,357,51272600
1789211068009-tick,358,49916300
1789211068009-tick,359,48919400
1789211068009-tick,360,50014800
1789211068009-tick,361,50693200
1789211068009-tick,362,50728100
1789211068009-tick,363,48968900
1789211068009-tick,364,50354400
1789211068009-tick,365,49101200
1789211068009-tick,366,51136400
1789211068009-tick,367,48866800
1789211068009-tick,368,51616400
1789211068009-tick,369,48696200
1789211068009-tick,370,50707500
1789211068009-tick,371,50326300
1789211068009-tick,372,48908900
1789211068009-tick,373,50338600
1789211068009-tick,374,50765700
1789211068009-tick,375,49350200
1789211068009-tick,376,49687900
1789211068009-tick,377,50029000
1789211068009-tick,378,50465800
1789211068009-tick,379,49888400
1789211068009-tick,380,49614300
1789211068009-tick,381,51229700
1789211068009-tick,382,48744300
1789211068009-tick,383,50650500
1789211068009-tick,384,49612600
1789211068009-tick,385,51142400
1789211068009-tick,386,48456100
1789211068009-tick,387,50991600
1789211068009-tick,388,49347200
1789211068009-tick,389,50301000
1789211068009-tick,390,49561000
1789211068009-tick,391,51126300
1789211068009-tick,392,48809800
1789211068009-tick,393,50501500
1789211068009-tick,394,50083300
1789211068009-tick,395,50110200
1789211068009-tick,396,49978100
1789211068009-tick,397,48940700
1789211068009-tick,398,50156500
1789211068009-tick,399,51042600
1789211068009-tick,400,48933200
