gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789211068009-adapter,started,0,1406,56978.4,134902801
1789211068009-adapter,started,1,1450,14721.4,134902801
1789211068009-adapter,started,2,1475,12214.3,134902801
1789211068009-adapter,started,3,1494,9400.7,134902801
1789211068009-adapter,started,4,1511,8488.8,134902801
1789211068009-adapter,started,5,1530,9379.9,134902801
1789211068009-adapter,started,6,1545,7137.9,134902801
1789211068009-adapter,started,7,1562,8691.1,134902801
1789211068009-adapter,started,8,1574,5817.4,134902801
1789211068009-adapter,started,9,1585,5486.4,134902801
