gen,seq,delta_ns
1789209134408-tick,1,41943300
1789209134408-tick,2,49334600
1789209134408-tick,3,50062600
1789209134408-tick,4,49963100
1789209134408-tick,5,50714200
1789209134408-tick,6,49174200
1789209134408-tick,7,51845400
1789209134408-tick,8,49636500
1789209134408-tick,9,49343400
1789209134408-tick,10,49676400
1789209134408-tick,11,50008100
1789209134408-tick,12,51050000
1789209134408-tick,13,48869300
1789209134408-tick,14,50372300
1789209134408-tick,15,49787100
1789209134408-tick,16,49573500
1789209134408-tick,17,50106000
1789209134408-tick,18,49984000
1789209134408-tick,19,51592100
1789209134408-tick,20,50015100
1789209134408-tick,21,48499300
1789209134408-tick,22,49673700
1789209134408-tick,23,50367800
1789209134408-tick,24,50226800
1789209134408-tick,25,50340400
1789209134408-tick,26,49429100
1789209134408-tick,27,50687400
1789209134408-tick,28,49769800
1789209134408-tick,29,49951100
1789209134408-tick,30,49750100
1789209134408-tick,31,50137200
1789209134408-tick,32,50455100
1789209134408-tick,33,50767100
1789209134408-tick,34,49045400
1789209134408-tick,35,50775800
1789209134408-tick,36,48570700
1789209134408-tick,37,50020300
1789209134408-tick,38,49884100
1789209134408-tick,39,50016800
1789209134408-tick,40,50625800
1789209134408-tick,41,50214800
1789209134408-tick,42,50664900
1789209134408-tick,43,48452500
1789209134408-tick,44,50189800
1789209134408-tick,45,50529800
1789209134408-tick,46,49304800
1789209134408-tick,47,50435900
1789209134408-tick,48,51244700
1789209134408-tick,49,48536800
1789209134408-tick,50,49785400
1789209134408-tick,51,51508800
1789209134408-tick,52,48271600
1789209134408-tick,53,50473900
1789209134408-tick,54,49664100
1789209134408-tick,55,49858300
1789209134408-tick,56,52032600
1789209134408-tick,57,49185200
1789209134408-tick,58,49004500
1789209134408-tick,59,50722600
1789209134408-tick,60,49187900
1789209134408-tick,61,50574300
1789209134408-tick,62,50075800
1789209134408-tick,63,49298800
1789209134408-tick,64,50239300
1789209134408-tick,65,50684300
1789209134408-tick,66,49399100
1789209134408-tick,67,51387700
1789209134408-tick,68,50191400
1789209134408-tick,69,48399100
1789209134408-tick,70,50142200
1789209134408-tick,71,49557100
1789209134408-tick,72,50264300
1789209134408-tick,73,50219500
1789209134408-tick,74,51227100
1789209134408-tick,75,49240000
1789209134408-tick,76,51031100
1789209134408-tick,77,48732300
1789209134408-tick,78,49348300
1789209134408-tick,79,51460900
1789209134408-tick,80,48488200
1789209134408-tick,81,50629800
1789209134408-tick,82,50249900
1789209134408-tick,83,50035500
1789209134408-tick,84,50174000
1789209134408-tick,85,50660200
1789209134408-tick,86,48193800
1789209134408-tick,87,50164900
1789209134408-tick,88,50545700
1789209134408-tick,89,51079400
1789209134408-tick,90,48451900
1789209134408-tick,91,50413100
1789209134408-tick,92,49670100
1789209134408-tick,93,51048400
1789209134408-tick,94,48636700
1789209134408-tick,95,50670700
1789209134408-tick,96,50132500
1789209134408-tick,97,49981500
1789209134408-tick,98,50241400
1789209134408-tick,99,48949600
1789209134408-tick,100,50288900
1789209134408-tick,101,51426700
1789209134408-tick,102,48419000
1789209134408-tick,103,50390900
1789209134408-tick,104,51443900
1789209134408-tick,105,48425200
1789209134408-tick,106,49841100
1789209134408-tick,107,51346300
1789209134408-tick,108,49143600
1789209134408-tick,109,50904300
1789209134408-tick,110,48951100
1789209134408-tick,111,49769200
1789209134408-tick,112,50435300
1789209134408-tick,113,49722700
1789209134408-tick,114,49772600
1789209134408-tick,115,50433700
1789209134408-tick,116,50257200
1789209134408-tick,117,49455700
1789209134408-tick,118,49818800
1789209134408-tick,119,50259500
1789209134408-tick,120,50724400
1789209134408-tick,121,49326500
1789209134408-tick,122,49993200
1789209134408-tick,123,50635600
1789209134408-tick,124,50249500
1789209134408-tick,125,49381700
1789209134408-tick,126,49358000
1789209134408-tick,127,50476800
1789209134408-tick,128,50245600
1789209134408-tick,129,49952100
1789209134408-tick,130,49281500
1789209134408-tick,131,49937000
1789209134408-tick,132,50933600
1789209134408-tick,133,49980100
1789209134408-tick,134,49598900
1789209134408-tick,135,50161000
1789209134408-tick,136,50085000
1789209134408-tick,137,50268000
1789209134408-tick,138,50482200
1789209134408-tick,139,49405200
1789209134408-tick,140,49222700
1789209134408-tick,141,50094500
1789209134408-tick,142,49687600
1789209134408-tick,143,51414200
1789209134408-tick,144,48756300
1789209134408-tick,145,50361000
1789209134408-tick,146,50007000
1789209134408-tick,147,50667500
1789209134408-tick,148,49946300
1789209134408-tick,149,48928800
1789209134408-tick,150,50938000
1789209134408-tick,151,49618100
1789209134408-tick,152,49395100
1789209134408-tick,153,50154900
1789209134408-tick,154,49927400
1789209134408-tick,155,51316200
1789209134408-tick,156,49022800
1789209134408-tick,157,50270800
1789209134408-tick,158,49611100
1789209134408-tick,159,49704400
1789209134408-tick,160,51281300
1789209134408-tick,161,49601100
1789209134408-tick,162,49510100
1789209134408-tick,163,50014600
1789209134408-tick,164,49716300
1789209134408-tick,165,50616700
1789209134408-tick,166,49454000
1789209134408-tick,167,49886300
1789209134408-tick,168,51927200
1789209134408-tick,169,49309000
1789209134408-tick,170,50096100
1789209134408-tick,171,49193700
1789209134408-tick,172,49931000
1789209134408-tick,173,50560800
1789209134408-tick,174,49569400
1789209134408-tick,175,49849700
1789209134408-tick,176,50408900
1789209134408-tick,177,49812300
1789209134408-tick,178,50931100
1789209134408-tick,179,49085100
1789209134408-tick,180,49890800
1789209134408-tick,181,50870500
1789209134408-tick,182,49288600
1789209134408-tick,183,51001000
1789209134408-tick,184,49217600
1789209134408-tick,185,50492800
1789209134408-tick,186,48555100
1789209134408-tick,187,50074600
1789209134408-tick,188,51513500
1789209134408-tick,189,49897700
1789209134408-tick,190,50038300
1789209134408-tick,191,48630000
1789209134408-tick,192,49920000
1789209134408-tick,193,50428400
1789209134408-tick,194,49445200
1789209134408-tick,195,51070700
