gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789205211298-mem,1,1789205216336,362466824,536870912,362466824,174404088
1789205211298-mem,2,1789205221334,364392368,536870912,364392368,172478544
1789205211298-mem,3,1789205226336,365512528,536870912,365512528,171358384
1789205211298-mem,4,1789205231336,367607136,536870912,367607136,169263776
1789205211298-mem,5,1789205236335,373656544,536870912,373656544,163214368
1789205211298-mem,6,1789205241336,375134912,536870912,375134912,161736000
1789205211298-mem,7,1789205246334,377717584,536870912,377717584,159153328
1789205211298-mem,8,1789205251334,379439376,536870912,379439376,157431536
1789205211298-mem,9,1789205256334,380300336,536870912,380300336,156570576
1789205211298-mem,10,1789205261335,390010616,536870912,390010616,146860296
1789205211298-mem,11,1789205266335,396357144,536870912,396357144,140513768
1789205211298-mem,12,1789205271335,401161568,536870912,401161568,135709344
