gen,seq,delta_ns
1789205211298-tick,1,42997400
1789205211298-tick,2,50157800
1789205211298-tick,3,49422800
1789205211298-tick,4,50200800
1789205211298-tick,5,49674100
1789205211298-tick,6,49748900
1789205211298-tick,7,50069400
1789205211298-tick,8,50058000
1789205211298-tick,9,50226100
1789205211298-tick,10,49739100
1789205211298-tick,11,49875900
1789205211298-tick,12,50455600
1789205211298-tick,13,49736800
1789205211298-tick,14,50161400
1789205211298-tick,15,50943300
1789205211298-tick,16,48769100
1789205211298-tick,17,50620800
1789205211298-tick,18,49846500
1789205211298-tick,19,50960500
1789205211298-tick,20,49992000
1789205211298-tick,21,48481000
1789205211298-tick,22,50553300
1789205211298-tick,23,51052300
1789205211298-tick,24,48596900
1789205211298-tick,25,50133900
1789205211298-tick,26,49728200
1789205211298-tick,27,51133500
1789205211298-tick,28,49834200
1789205211298-tick,29,50594500
1789205211298-tick,30,49192800
1789205211298-tick,31,49622300
1789205211298-tick,32,49696700
1789205211298-tick,33,50278000
1789205211298-tick,34,49932400
1789205211298-tick,35,50368500
1789205211298-tick,36,50389400
1789205211298-tick,37,50493000
1789205211298-tick,38,48969000
1789205211298-tick,39,50996400
1789205211298-tick,40,49978800
1789205211298-tick,41,49344300
1789205211298-tick,42,49695300
1789205211298-tick,43,50944600
1789205211298-tick,44,49236100
1789205211298-tick,45,50689700
1789205211298-tick,46,49701700
1789205211298-tick,47,49035400
1789205211298-tick,48,50997100
1789205211298-tick,49,49664100
1789205211298-tick,50,49852600
1789205211298-tick,51,50720600
1789205211298-tick,52,49196400
1789205211298-tick,53,50478500
1789205211298-tick,54,50411400
1789205211298-tick,55,49065400
1789205211298-tick,56,49644600
1789205211298-tick,57,49800800
1789205211298-tick,58,51012000
1789205211298-tick,59,49927900
1789205211298-tick,60,49180100
1789205211298-tick,61,51290700
1789205211298-tick,62,49144600
1789205211298-tick,63,50455400
1789205211298-tick,64,49028800
1789205211298-tick,65,50182600
1789205211298-tick,66,50980400
1789205211298-tick,67,49101600
1789205211298-tick,68,50212000
1789205211298-tick,69,50251100
1789205211298-tick,70,49642400
1789205211298-tick,71,49651300
1789205211298-tick,72,50043100
1789205211298-tick,73,51299100
1789205211298-tick,74,50278400
1789205211298-tick,75,49949700
1789205211298-tick,76,48509600
1789205211298-tick,77,51249700
1789205211298-tick,78,49689800
1789205211298-tick,79,50333900
1789205211298-tick,80,48575500
