gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789205211298-adapter,started,0,1540,50775.0,134984811
1789205211298-adapter,started,1,1586,15594.1,134984811
1789205211298-adapter,started,2,1609,11332.5,134984811
1789205211298-adapter,started,3,1629,10013.8,134984811
1789205211298-adapter,started,4,1646,8193.4,134984811
1789205211298-adapter,started,5,1662,7860.7,134984811
1789205211298-adapter,started,6,1677,7661.7,134984811
1789205211298-adapter,started,7,1691,6663.9,134984811
1789205211298-adapter,started,8,1703,6023.3,134984811
1789205211298-adapter,started,9,1714,5726.4,134984811
