gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789208922556-adapter,started,0,1636,59178.7,134862606
1789208922556-adapter,started,1,1683,16067.6,134862606
1789208922556-adapter,started,2,1708,12443.8,134862606
1789208922556-adapter,started,3,1729,10769.9,134862606
1789208922556-adapter,started,4,1747,8868.8,134862606
1789208922556-adapter,started,5,1766,9487.1,134862606
1789208922556-adapter,started,6,1781,7007.8,134862606
1789208922556-adapter,started,7,1804,11491.1,134862606
1789208922556-adapter,started,8,1821,8740.0,134862606
1789208922556-adapter,started,9,1835,6863.2,134862606
