gen,seq,delta_ns
1789208922556-tick,213,49618200
1789208922556-tick,214,50387600
1789208922556-tick,215,50184200
1789208922556-tick,216,51005400
1789208922556-tick,217,49107500
1789208922556-tick,218,49749700
1789208922556-tick,219,50122400
1789208922556-tick,220,50095300
1789208922556-tick,221,50183600
1789208922556-tick,222,49734400
1789208922556-tick,223,50332000
1789208922556-tick,224,49613000
1789208922556-tick,225,49279100
1789208922556-tick,226,51698000
1789208922556-tick,227,48717000
1789208922556-tick,228,50350000
1789208922556-tick,229,49799000
1789208922556-tick,230,49871100
1789208922556-tick,231,50520200
1789208922556-tick,232,49566800
1789208922556-tick,233,50827400
1789208922556-tick,234,49203000
1789208922556-tick,235,49760800
1789208922556-tick,236,50159400
1789208922556-tick,237,49873700
1789208922556-tick,238,50705800
1789208922556-tick,239,50737500
1789208922556-tick,240,49917800
1789208922556-tick,241,48594600
1789208922556-tick,242,50278500
1789208922556-tick,243,51626300
1789208922556-tick,244,49512900
1789208922556-tick,245,49535500
1789208922556-tick,246,48708800
1789208922556-tick,247,52328600
1789208922556-tick,248,48442000
1789208922556-tick,249,50288700
1789208922556-tick,250,49748400
1789208922556-tick,251,49469600
1789208922556-tick,252,50988000
1789208922556-tick,253,49125700
1789208922556-tick,254,50943500
1789208922556-tick,255,48903100
1789208922556-tick,256,49949200
1789208922556-tick,257,50176000
1789208922556-tick,258,50611300
1789208922556-tick,259,48972100
1789208922556-tick,260,50927400
1789208922556-tick,261,50187600
1789208922556-tick,262,49396900
1789208922556-tick,263,49719500
1789208922556-tick,264,49832200
1789208922556-tick,265,50983000
1789208922556-tick,266,48998600
1789208922556-tick,267,50360100
1789208922556-tick,268,51542500
1789208922556-tick,269,49594000
1789208922556-tick,270,48642100
1789208922556-tick,271,51278700
1789208922556-tick,272,48602800
1789208922556-tick,273,50749200
1789208922556-tick,274,50152700
1789208922556-tick,275,50195500
1789208922556-tick,276,49532600
1789208922556-tick,277,49402200
1789208922556-tick,278,50084800
1789208922556-tick,279,50596000
1789208922556-tick,280,51125000
1789208922556-tick,281,49366900
1789208922556-tick,282,49469900
1789208922556-tick,283,49548600
1789208922556-tick,284,49694100
1789208922556-tick,285,51492200
1789208922556-tick,286,49641600
1789208922556-tick,287,49021800
1789208922556-tick,288,50769700
1789208922556-tick,289,50458900
1789208922556-tick,290,49511500
1789208922556-tick,291,50123300
1789208922556-tick,292,49210600
1789208922556-tick,293,50204500
1789208922556-tick,294,49716100
1789208922556-tick,295,50575200
1789208922556-tick,296,50001800
1789208922556-tick,297,49549600
1789208922556-tick,298,50582900
1789208922556-tick,299,49521100
1789208922556-tick,300,49799800
1789208922556-tick,301,51070700
1789208922556-tick,302,48967100
1789208922556-tick,303,51098300
1789208922556-tick,304,49275800
1789208922556-tick,305,50827300
1789208922556-tick,306,49349400
1789208922556-tick,307,49365300
1789208922556-tick,308,50405300
1789208922556-tick,309,49674400
1789208922556-tick,310,51627700
1789208922556-tick,311,49455200
1789208922556-tick,312,50273100
1789208922556-tick,313,49132300
1789208922556-tick,314,49998100
1789208922556-tick,315,49792900
1789208922556-tick,316,49763800
1789208922556-tick,317,51152300
1789208922556-tick,318,49213700
1789208922556-tick,319,49972100
1789208922556-tick,320,49488800
1789208922556-tick,321,50651700
1789208922556-tick,322,49875000
1789208922556-tick,323,49698700
1789208922556-tick,324,49982700
1789208922556-tick,325,49993100
1789208922556-tick,326,49940700
1789208922556-tick,327,51205600
1789208922556-tick,328,50377900
1789208922556-tick,329,49556700
1789208922556-tick,330,50303900
1789208922556-tick,331,49633500
1789208922556-tick,332,49193500
1789208922556-tick,333,49668500
1789208922556-tick,334,51547400
1789208922556-tick,335,49426200
1789208922556-tick,336,49515900
1789208922556-tick,337,50895000
1789208922556-tick,338,49959300
1789208922556-tick,339,48670400
1789208922556-tick,340,51733900
1789208922556-tick,341,49094900
1789208922556-tick,342,50967500
1789208922556-tick,343,48225800
1789208922556-tick,344,51600900
1789208922556-tick,345,49472000
1789208922556-tick,346,49298100
1789208922556-tick,347,50852100
1789208922556-tick,348,48872800
1789208922556-tick,349,50959300
1789208922556-tick,350,49109000
1789208922556-tick,351,50529100
1789208922556-tick,352,49480900
1789208922556-tick,353,51599800
1789208922556-tick,354,48229200
1789208922556-tick,355,50627300
1789208922556-tick,356,49281200
1789208922556-tick,357,49998500
1789208922556-tick,358,50665700
1789208922556-tick,359,49819600
1789208922556-tick,360,50164000
1789208922556-tick,361,49617200
1789208922556-tick,362,49894400
1789208922556-tick,363,51441800
1789208922556-tick,364,50296000
1789208922556-tick,365,48921600
1789208922556-tick,366,49526100
1789208922556-tick,367,50939200
1789208922556-tick,368,50484000
1789208922556-tick,369,49372400
1789208922556-tick,370,49059100
1789208922556-tick,371,49934300
1789208922556-tick,372,50135900
1789208922556-tick,373,51500800
1789208922556-tick,374,48434200
1789208922556-tick,375,49712100
1789208922556-tick,376,50402800
1789208922556-tick,377,49631600
1789208922556-tick,378,50621100
1789208922556-tick,379,49709900
1789208922556-tick,380,50316300
1789208922556-tick,381,50499300
1789208922556-tick,382,49403000
1789208922556-tick,383,50493900
1789208922556-tick,384,50993500
1789208922556-tick,385,49028100
1789208922556-tick,386,48915400
1789208922556-tick,387,50320500
1789208922556-tick,388,50210700
1789208922556-tick,389,50181000
1789208922556-tick,390,49403300
1789208922556-tick,391,51082800
1789208922556-tick,392,49762700
1789208922556-tick,393,50043500
1789208922556-tick,394,51048600
1789208922556-tick,395,48257700
