gen,seq,delta_ns
1789209058691-tick,1,34423000
1789209058691-tick,2,49872200
1789209058691-tick,3,49210200
1789209058691-tick,4,51052100
1789209058691-tick,5,49231100
1789209058691-tick,6,50191800
1789209058691-tick,7,50024300
1789209058691-tick,8,50892000
1789209058691-tick,9,48827800
1789209058691-tick,10,49739300
1789209058691-tick,11,50978900
1789209058691-tick,12,49455100
1789209058691-tick,13,49709300
1789209058691-tick,14,51325100
1789209058691-tick,15,48650000
1789209058691-tick,16,49883000
1789209058691-tick,17,50078000
1789209058691-tick,18,50394200
1789209058691-tick,19,50529800
1789209058691-tick,20,50828700
1789209058691-tick,21,48383500
1789209058691-tick,22,51364300
1789209058691-tick,23,48424600
1789209058691-tick,24,50887000
1789209058691-tick,25,50199400
1789209058691-tick,26,50657500
1789209058691-tick,27,48922400
1789209058691-tick,28,49810200
1789209058691-tick,29,50183000
1789209058691-tick,30,49603300
1789209058691-tick,31,49686400
1789209058691-tick,32,51809300
1789209058691-tick,33,49041100
1789209058691-tick,34,49273800
1789209058691-tick,35,50283400
1789209058691-tick,36,49859200
1789209058691-tick,37,50804500
1789209058691-tick,38,48907200
1789209058691-tick,39,50018600
1789209058691-tick,40,50523900
1789209058691-tick,41,50198100
1789209058691-tick,42,50271900
1789209058691-tick,43,49772600
1789209058691-tick,44,49607400
1789209058691-tick,45,50557500
1789209058691-tick,46,49507200
1789209058691-tick,47,50503300
1789209058691-tick,48,50456200
1789209058691-tick,49,49231500
1789209058691-tick,50,49419900
1789209058691-tick,51,50739800
1789209058691-tick,52,49349300
1789209058691-tick,53,50054400
1789209058691-tick,54,51655200
1789209058691-tick,55,48923700
1789209058691-tick,56,49578100
1789209058691-tick,57,50406400
1789209058691-tick,58,51181300
1789209058691-tick,59,48112700
1789209058691-tick,60,51146000
1789209058691-tick,61,49507900
1789209058691-tick,62,50910100
1789209058691-tick,63,50300900
1789209058691-tick,64,48428200
1789209058691-tick,65,50206700
1789209058691-tick,66,49960700
1789209058691-tick,67,50291000
1789209058691-tick,68,50099100
1789209058691-tick,69,50063300
1789209058691-tick,70,50107000
1789209058691-tick,71,49454500
1789209058691-tick,72,49887000
1789209058691-tick,73,50207100
1789209058691-tick,74,50111500
1789209058691-tick,75,50073500
1789209058691-tick,76,51063200
1789209058691-tick,77,49556700
1789209058691-tick,78,50001800
1789209058691-tick,79,48741000
1789209058691-tick,80,50936100
1789209058691-tick,81,50032000
1789209058691-tick,82,48923100
1789209058691-tick,83,50813300
1789209058691-tick,84,49113300
1789209058691-tick,85,50749100
1789209058691-tick,86,50821400
1789209058691-tick,87,48799600
1789209058691-tick,88,51072700
1789209058691-tick,89,49418600
1789209058691-tick,90,49483700
1789209058691-tick,91,50408700
1789209058691-tick,92,49502400
1789209058691-tick,93,49720900
1789209058691-tick,94,52034900
1789209058691-tick,95,48185700
1789209058691-tick,96,50489200
1789209058691-tick,97,49795900
1789209058691-tick,98,50596700
1789209058691-tick,99,49583800
1789209058691-tick,100,49940800
1789209058691-tick,101,51154200
1789209058691-tick,102,48367300
1789209058691-tick,103,50034700
1789209058691-tick,104,51287000
1789209058691-tick,105,49787800
1789209058691-tick,106,50098600
1789209058691-tick,107,49113000
1789209058691-tick,108,50355800
1789209058691-tick,109,49518800
1789209058691-tick,110,49786900
1789209058691-tick,111,51227400
1789209058691-tick,112,49554100
1789209058691-tick,113,50251400
1789209058691-tick,114,48972200
1789209058691-tick,115,50077300
1789209058691-tick,116,51041200
1789209058691-tick,117,49213400
1789209058691-tick,118,50161900
1789209058691-tick,119,49862000
1789209058691-tick,120,50811400
1789209058691-tick,121,49356300
1789209058691-tick,122,50462300
1789209058691-tick,123,50313200
1789209058691-tick,124,49060800
1789209058691-tick,125,49863700
1789209058691-tick,126,49962900
1789209058691-tick,127,50608000
1789209058691-tick,128,49705400
1789209058691-tick,129,49379200
1789209058691-tick,130,52225800
1789209058691-tick,131,49759600
1789209058691-tick,132,49639400
1789209058691-tick,133,49046100
1789209058691-tick,134,50287300
1789209058691-tick,135,49900800
1789209058691-tick,136,49761900
1789209058691-tick,137,50065200
1789209058691-tick,138,49950900
1789209058691-tick,139,50768200
1789209058691-tick,140,48592500
1789209058691-tick,141,51228600
1789209058691-tick,142,50552700
1789209058691-tick,143,49719600
1789209058691-tick,144,49359300
1789209058691-tick,145,49287400
1789209058691-tick,146,50088600
1789209058691-tick,147,49813300
1789209058691-tick,148,50932100
1789209058691-tick,149,49767600
1789209058691-tick,150,49261000
1789209058691-tick,151,50356400
1789209058691-tick,152,50327600
1789209058691-tick,153,49376000
1789209058691-tick,154,50672300
1789209058691-tick,155,49818400
1789209058691-tick,156,50973800
1789209058691-tick,157,49934800
1789209058691-tick,158,49512400
1789209058691-tick,159,49894200
1789209058691-tick,160,50370100
1789209058691-tick,161,48848100
1789209058691-tick,162,50644200
1789209058691-tick,163,50908200
1789209058691-tick,164,49773500
1789209058691-tick,165,48912900
1789209058691-tick,166,49969800
1789209058691-tick,167,50196700
1789209058691-tick,168,50496400
1789209058691-tick,169,49043200
1789209058691-tick,170,50235700
1789209058691-tick,171,50316300
1789209058691-tick,172,50466700
1789209058691-tick,173,51008500
1789209058691-tick,174,48267300
1789209058691-tick,175,49813500
1789209058691-tick,176,51068200
1789209058691-tick,177,49846600
1789209058691-tick,178,49861000
1789209058691-tick,179,49124600
1789209058691-tick,180,50959800
1789209058691-tick,181,50584700
1789209058691-tick,182,48444400
1789209058691-tick,183,51632300
1789209058691-tick,184,50320300
1789209058691-tick,185,48530600
1789209058691-tick,186,50353100
1789209058691-tick,187,50641100
1789209058691-tick,188,50605500
1789209058691-tick,189,48067600
1789209058691-tick,190,50481400
1789209058691-tick,191,51094400
1789209058691-tick,192,48356500
1789209058691-tick,193,50175200
1789209058691-tick,194,50727800
1789209058691-tick,195,50654700
1789209058691-tick,196,49971600
1789209058691-tick,197,49553900
1789209058691-tick,198,49062200
1789209058691-tick,199,51423900
1789209058691-tick,200,48580200
1789209058691-tick,201,50668900
1789209058691-tick,202,50044300
1789209058691-tick,203,49217900
1789209058691-tick,204,50941800
1789209058691-tick,205,50077300
1789209058691-tick,206,49768200
1789209058691-tick,207,49011500
1789209058691-tick,208,50854500
1789209058691-tick,209,50039200
1789209058691-tick,210,49984700
1789209058691-tick,211,49894700
1789209058691-tick,212,50381100
1789209058691-tick,213,50517400
1789209058691-tick,214,49081200
1789209058691-tick,215,49600800
1789209058691-tick,216,51576000
1789209058691-tick,217,48614000
1789209058691-tick,218,49854300
1789209058691-tick,219,50318500
