gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789209058691-mem,1,1789209063715,235269184,562036736,235269184,326767552
1789209058691-mem,2,1789209068715,235928080,562036736,235928080,326108656
1789209058691-mem,3,1789209073715,238030072,562036736,238030072,324006664
1789209058691-mem,4,1789209078714,239869464,562036736,239869464,322167272
1789209058691-mem,5,1789209083716,244054072,562036736,244054072,317982664
1789209058691-mem,6,1789209088715,244255480,562036736,244255480,317781256
1789209058691-mem,7,1789209093714,247934256,562036736,247934256,314102480
1789209058691-mem,8,1789209098715,249773648,562036736,249773648,312263088
1789209058691-mem,9,1789209103715,249773648,562036736,249773648,312263088
1789209058691-mem,10,1789209108715,259247832,562036736,259247832,302788904
1789209058691-mem,11,1789209113714,265107472,562036736,265107472,296929264
1789209058691-mem,12,1789209118714,268143104,562036736,268143104,293893632
