gen,seq,delta_ns
1789205075096-tick,1,43238200
1789205075096-tick,2,50382500
1789205075096-tick,3,50992500
1789205075096-tick,4,49173100
1789205075096-tick,5,50010100
1789205075096-tick,6,49567000
1789205075096-tick,7,50183100
1789205075096-tick,8,49261800
1789205075096-tick,9,50284800
1789205075096-tick,10,50627300
1789205075096-tick,11,49754200
1789205075096-tick,12,50045800
1789205075096-tick,13,51114400
1789205075096-tick,14,49013000
1789205075096-tick,15,50943200
1789205075096-tick,16,48776900
1789205075096-tick,17,49548500
1789205075096-tick,18,51103700
1789205075096-tick,19,50467400
1789205075096-tick,20,48636100
1789205075096-tick,21,49694700
1789205075096-tick,22,50039400
1789205075096-tick,23,50287600
1789205075096-tick,24,51520600
1789205075096-tick,25,48300200
1789205075096-tick,26,50251000
1789205075096-tick,27,50412300
1789205075096-tick,28,49776200
1789205075096-tick,29,49617600
1789205075096-tick,30,50034500
1789205075096-tick,31,49984200
1789205075096-tick,32,51268000
1789205075096-tick,33,50010200
1789205075096-tick,34,49012300
1789205075096-tick,35,49597700
1789205075096-tick,36,50423500
1789205075096-tick,37,51090900
1789205075096-tick,38,48483700
1789205075096-tick,39,51270100
1789205075096-tick,40,49005100
1789205075096-tick,41,49824200
1789205075096-tick,42,51582600
1789205075096-tick,43,48686500
1789205075096-tick,44,50929100
1789205075096-tick,45,50294400
1789205075096-tick,46,48836000
1789205075096-tick,47,49840700
1789205075096-tick,48,50841700
1789205075096-tick,49,48977200
1789205075096-tick,50,50251100
1789205075096-tick,51,50845800
1789205075096-tick,52,49169300
1789205075096-tick,53,49942500
1789205075096-tick,54,50759600
1789205075096-tick,55,50258500
1789205075096-tick,56,50154700
1789205075096-tick,57,49715800
1789205075096-tick,58,49822500
1789205075096-tick,59,49972400
1789205075096-tick,60,49882100
1789205075096-tick,61,50782400
1789205075096-tick,62,49476300
1789205075096-tick,63,48868500
1789205075096-tick,64,50683600
1789205075096-tick,65,49461600
1789205075096-tick,66,51242600
1789205075096-tick,67,49950500
1789205075096-tick,68,49858200
1789205075096-tick,69,49989200
1789205075096-tick,70,50120800
1789205075096-tick,71,48795500
1789205075096-tick,72,50251600
1789205075096-tick,73,49887900
1789205075096-tick,74,51117100
1789205075096-tick,75,48943900
1789205075096-tick,76,49797600
1789205075096-tick,77,50523200
1789205075096-tick,78,50201000
1789205075096-tick,79,50010800
1789205075096-tick,80,49619200
1789205075096-tick,81,50728200
1789205075096-tick,82,49745000
1789205075096-tick,83,50791000
1789205075096-tick,84,48733500
1789205075096-tick,85,50978600
1789205075096-tick,86,49812500
1789205075096-tick,87,48869400
1789205075096-tick,88,51027000
1789205075096-tick,89,49030400
1789205075096-tick,90,50001000
1789205075096-tick,91,49974900
1789205075096-tick,92,50133600
1789205075096-tick,93,51428700
1789205075096-tick,94,49419000
1789205075096-tick,95,50480100
1789205075096-tick,96,49068000
1789205075096-tick,97,49929500
1789205075096-tick,98,50355200
1789205075096-tick,99,50301600
1789205075096-tick,100,49059900
1789205075096-tick,101,50144500
1789205075096-tick,102,49445000
1789205075096-tick,103,50020700
1789205075096-tick,104,50028100
1789205075096-tick,105,49917000
1789205075096-tick,106,50668500
1789205075096-tick,107,51109700
1789205075096-tick,108,48554900
1789205075096-tick,109,51030200
1789205075096-tick,110,49062700
1789205075096-tick,111,50996100
1789205075096-tick,112,49241100
1789205075096-tick,113,51156400
1789205075096-tick,114,49032800
1789205075096-tick,115,50320500
1789205075096-tick,116,50295600
1789205075096-tick,117,50201300
1789205075096-tick,118,48481800
1789205075096-tick,119,51898600
1789205075096-tick,120,48550700
1789205075096-tick,121,50443300
1789205075096-tick,122,49740200
1789205075096-tick,123,49534800
1789205075096-tick,124,49885700
1789205075096-tick,125,51614900
1789205075096-tick,126,48334200
1789205075096-tick,127,50934500
1789205075096-tick,128,50149800
1789205075096-tick,129,49994000
1789205075096-tick,130,49446400
1789205075096-tick,131,50979400
1789205075096-tick,132,49697300
1789205075096-tick,133,49569100
1789205075096-tick,134,49176500
1789205075096-tick,135,50244900
1789205075096-tick,136,50044600
1789205075096-tick,137,50553300
1789205075096-tick,138,50302600
1789205075096-tick,139,50484700
1789205075096-tick,140,49707600
1789205075096-tick,141,50012800
1789205075096-tick,142,49070100
1789205075096-tick,143,50599900
1789205075096-tick,144,50857400
1789205075096-tick,145,49657200
1789205075096-tick,146,48876400
1789205075096-tick,147,50101200
1789205075096-tick,148,50532900
1789205075096-tick,149,49968500
1789205075096-tick,150,49168300
1789205075096-tick,151,49687200
1789205075096-tick,152,50210100
1789205075096-tick,153,49811800
1789205075096-tick,154,50554600
1789205075096-tick,155,50495200
1789205075096-tick,156,50230000
1789205075096-tick,157,50413300
1789205075096-tick,158,48519800
1789205075096-tick,159,50819000
1789205075096-tick,160,49502800
1789205075096-tick,161,50962800
1789205075096-tick,162,49516800
1789205075096-tick,163,49847300
1789205075096-tick,164,50064600
1789205075096-tick,165,49485900
1789205075096-tick,166,50006600
1789205075096-tick,167,50481600
1789205075096-tick,168,50285100
1789205075096-tick,169,50807900
1789205075096-tick,170,48180000
1789205075096-tick,171,50236200
1789205075096-tick,172,50119000
1789205075096-tick,173,50433500
1789205075096-tick,174,50055400
1789205075096-tick,175,50741100
1789205075096-tick,176,48324200
1789205075096-tick,177,50854600
1789205075096-tick,178,49940500
1789205075096-tick,179,49902400
1789205075096-tick,180,50367100
1789205075096-tick,181,49905700
1789205075096-tick,182,50088800
1789205075096-tick,183,50709000
1789205075096-tick,184,48984800
1789205075096-tick,185,50957000
1789205075096-tick,186,49343900
1789205075096-tick,187,49769800
1789205075096-tick,188,49314000
1789205075096-tick,189,51002300
1789205075096-tick,190,49976500
1789205075096-tick,191,49374700
1789205075096-tick,192,50520300
1789205075096-tick,193,49756100
1789205075096-tick,194,50282700
1789205075096-tick,195,50154200
1789205075096-tick,196,49413100
1789205075096-tick,197,50050300
1789205075096-tick,198,50451400
