gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789205075096-adapter,started,0,1430,55941.6,134639621
1789205075096-adapter,started,1,1490,12096.0,134639621
1789205075096-adapter,started,2,1511,10114.5,134639621
1789205075096-adapter,started,3,1530,9563.6,134639621
1789205075096-adapter,started,4,1547,8379.3,134639621
1789205075096-adapter,started,5,1562,7410.3,134639621
1789205075096-adapter,started,6,1576,6841.0,134639621
1789205075096-adapter,started,7,1599,11618.7,134639621
1789205075096-adapter,started,8,1610,5502.4,134639621
1789205075096-adapter,started,9,1621,5445.0,134639621
