gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789211144065-mem,1,1789211172015,476130504,679477248,476130504,202843360
1789211144065-mem,2,1789211177021,478143968,679477248,478143968,201333280
1789211144065-mem,3,1789211182011,481242416,679477248,481242416,198234832
1789211144065-mem,4,1789211187013,483255776,679477248,483255776,196221472
1789211144065-mem,5,1789211192021,484765848,679477248,484765848,194711400
1789211144065-mem,6,1789211197019,486779224,679477248,486779224,192698024
1789211144065-mem,7,1789211202015,493719952,679477248,493719952,185757296
1789211144065-mem,8,1789211207016,494726624,679477248,494726624,184750624
1789211144065-mem,9,1789211212014,510086032,679477248,510086032,169391216
1789211144065-mem,10,1789211217017,511596184,679477248,511596184,167881064
1789211144065-mem,11,1789211222016,512657872,679477248,512657872,166819376
1789211144065-mem,12,1789211227010,518018832,679477248,518018832,161458416
