gen,seq,delta_ns
1789211144065-tick,1,56661700
1789211144065-tick,2,46780600
1789211144065-tick,3,46894200
1789211144065-tick,4,47991600
1789211144065-tick,5,46944400
1789211144065-tick,6,47049200
1789211144065-tick,7,62106300
1789211144065-tick,8,47441600
1789211144065-tick,9,46612000
1789211144065-tick,10,46958100
1789211144065-tick,11,47598700
1789211144065-tick,12,61952700
1789211144065-tick,13,46746100
1789211144065-tick,14,47049200
1789211144065-tick,15,47033900
1789211144065-tick,16,47032000
1789211144065-tick,17,63264000
1789211144065-tick,18,45753800
1789211144065-tick,19,45895700
1789211144065-tick,20,45138600
1789211144065-tick,21,62135400
1789211144065-tick,22,46036200
1789211144065-tick,23,46889500
1789211144065-tick,24,46931400
1789211144065-tick,25,47036500
1789211144065-tick,26,62738300
1789211144065-tick,27,48383100
1789211144065-tick,28,46060500
1789211144065-tick,29,47136000
1789211144065-tick,30,46841200
1789211144065-tick,31,62098500
1789211144065-tick,32,46872600
1789211144065-tick,33,46925500
1789211144065-tick,34,46190900
1789211144065-tick,35,47129100
1789211144065-tick,36,62392800
1789211144065-tick,37,46921700
1789211144065-tick,38,46019600
1789211144065-tick,39,47087400
1789211144065-tick,40,46879200
1789211144065-tick,41,62734700
1789211144065-tick,42,47965200
1789211144065-tick,43,47014100
1789211144065-tick,44,46306100
1789211144065-tick,45,46983500
1789211144065-tick,46,60633400
1789211144065-tick,47,47089400
1789211144065-tick,48,47995600
1789211144065-tick,49,47721800
1789211144065-tick,50,46630400
1789211144065-tick,51,61659100
1789211144065-tick,52,46975900
1789211144065-tick,53,47260000
1789211144065-tick,54,46543000
1789211144065-tick,55,46364800
1789211144065-tick,56,62979100
1789211144065-tick,57,46417000
1789211144065-tick,58,46763100
1789211144065-tick,59,46897400
1789211144065-tick,60,46927800
1789211144065-tick,61,62183700
1789211144065-tick,62,46575300
1789211144065-tick,63,46377100
1789211144065-tick,64,46726800
1789211144065-tick,65,61529100
1789211144065-tick,66,47711900
1789211144065-tick,67,47109900
1789211144065-tick,68,46984900
1789211144065-tick,69,47099200
1789211144065-tick,70,47779700
1789211144065-tick,71,62231900
1789211144065-tick,72,44931100
1789211144065-tick,73,47614200
1789211144065-tick,74,46915400
1789211144065-tick,75,63463200
1789211144065-tick,76,48127400
1789211144065-tick,77,47147600
1789211144065-tick,78,46428900
1789211144065-tick,79,45621700
1789211144065-tick,80,62920200
1789211144065-tick,81,46096100
1789211144065-tick,82,47950600
1789211144065-tick,83,46089300
1789211144065-tick,84,47268500
