gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789210980656-adapter,started,0,2782,107316.0,134773207
1789210980656-adapter,started,1,2862,32213.7,134773207
1789210980656-adapter,started,2,2908,22271.6,134773207
1789210980656-adapter,started,3,2941,16399.0,134773207
1789210980656-adapter,started,4,2967,12934.2,134773207
1789210980656-adapter,started,5,2993,13029.5,134773207
1789210980656-adapter,started,6,3014,10365.4,134773207
1789210980656-adapter,started,7,3034,10032.3,134773207
1789210980656-adapter,started,8,3052,9010.6,134773207
1789210980656-adapter,started,9,3071,9217.2,134773207
