gen,seq,delta_ns
1789210980656-tick,1,48446600
1789210980656-tick,2,54157600
1789210980656-tick,3,47106800
1789210980656-tick,4,47121300
1789210980656-tick,5,46912300
1789210980656-tick,6,45943600
1789210980656-tick,7,61658300
1789210980656-tick,8,47123500
1789210980656-tick,9,47142200
1789210980656-tick,10,47069800
1789210980656-tick,11,46924600
1789210980656-tick,12,64212500
1789210980656-tick,13,47882600
1789210980656-tick,14,47219400
1789210980656-tick,15,47414900
1789210980656-tick,16,48054000
1789210980656-tick,17,46931300
1789210980656-tick,18,60686800
1789210980656-tick,19,46100300
1789210980656-tick,20,47091300
1789210980656-tick,21,47061400
1789210980656-tick,22,47792100
1789210980656-tick,23,62500600
1789210980656-tick,24,47327900
1789210980656-tick,25,46607900
1789210980656-tick,26,47033700
1789210980656-tick,27,47706600
1789210980656-tick,28,60789600
1789210980656-tick,29,47627400
1789210980656-tick,30,48747200
1789210980656-tick,31,47100000
1789210980656-tick,32,46565900
1789210980656-tick,33,60716100
1789210980656-tick,34,47460000
1789210980656-tick,35,46633500
1789210980656-tick,36,46883000
1789210980656-tick,37,45469200
1789210980656-tick,38,62767600
1789210980656-tick,39,46582100
1789210980656-tick,40,46099400
1789210980656-tick,41,46554200
1789210980656-tick,42,60662200
1789210980656-tick,43,46572400
1789210980656-tick,44,46904900
1789210980656-tick,45,47986600
1789210980656-tick,46,46537900
1789210980656-tick,47,61808700
1789210980656-tick,48,46213600
1789210980656-tick,49,45849400
1789210980656-tick,50,47417300
1789210980656-tick,51,62924500
1789210980656-tick,52,47428100
1789210980656-tick,53,46961400
1789210980656-tick,54,47185300
1789210980656-tick,55,47106400
1789210980656-tick,56,46551200
1789210980656-tick,57,62861100
1789210980656-tick,58,46488000
1789210980656-tick,59,46426300
1789210980656-tick,60,46935600
1789210980656-tick,61,61837300
1789210980656-tick,62,46808400
1789210980656-tick,63,46206100
1789210980656-tick,64,46994800
1789210980656-tick,65,47552100
1789210980656-tick,66,61266100
1789210980656-tick,67,46854900
1789210980656-tick,68,47123400
1789210980656-tick,69,46929000
1789210980656-tick,70,47247000
1789210980656-tick,71,61325500
1789210980656-tick,72,46391800
1789210980656-tick,73,46713700
1789210980656-tick,74,47692300
1789210980656-tick,75,46050900
1789210980656-tick,76,62672900
1789210980656-tick,77,48059700
1789210980656-tick,78,45074100
1789210980656-tick,79,47164300
1789210980656-tick,80,47687600
1789210980656-tick,81,62066200
1789210980656-tick,82,47887700
1789210980656-tick,83,46235300
1789210980656-tick,84,47916400
1789210980656-tick,85,47067700
1789210980656-tick,86,62464300
1789210980656-tick,87,47187800
1789210980656-tick,88,46210100
1789210980656-tick,89,47631300
1789210980656-tick,90,47670400
1789210980656-tick,91,61376100
1789210980656-tick,92,47382200
1789210980656-tick,93,45220200
1789210980656-tick,94,46898400
1789210980656-tick,95,46459700
1789210980656-tick,96,62106800
1789210980656-tick,97,47530100
1789210980656-tick,98,46713600
1789210980656-tick,99,46799700
1789210980656-tick,100,47586000
1789210980656-tick,101,62581300
1789210980656-tick,102,47712800
1789210980656-tick,103,48314100
1789210980656-tick,104,45800500
1789210980656-tick,105,46519100
1789210980656-tick,106,61925400
1789210980656-tick,107,47098700
1789210980656-tick,108,45794200
1789210980656-tick,109,47545300
1789210980656-tick,110,60323500
1789210980656-tick,111,45828300
1789210980656-tick,112,46760200
1789210980656-tick,113,45555900
1789210980656-tick,114,46990000
1789210980656-tick,115,62648900
1789210980656-tick,116,46096600
1789210980656-tick,117,46292700
1789210980656-tick,118,46332500
1789210980656-tick,119,63196400
1789210980656-tick,120,46119500
1789210980656-tick,121,46118500
1789210980656-tick,122,47915900
1789210980656-tick,123,46147600
1789210980656-tick,124,62020000
1789210980656-tick,125,46890500
1789210980656-tick,126,47825300
1789210980656-tick,127,47099600
1789210980656-tick,128,46624500
1789210980656-tick,129,61410700
1789210980656-tick,130,46072400
1789210980656-tick,131,47786900
1789210980656-tick,132,46371500
1789210980656-tick,133,61307700
1789210980656-tick,134,47269200
1789210980656-tick,135,46777400
1789210980656-tick,136,47757500
